episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
131,2048,50.176331,32.465816,65.312472,1427.531626,1.434644,268288,1761982903
132,2048,46.081805,32.797169,65.296655,1377.773788,1.486456,270336,1761982905
133,2048,96.958076,34.341083,64.969379,2177.339325,0.940598,272384,1761982906
134,2048,82.918162,35.979882,64.101360,1488.225447,1.376136,274432,1761982907
135,2048,43.769278,36.634347,63.842928,1458.208280,1.404463,276480,1761982908
136,2048,78.118031,37.503999,63.809768,1455.684014,1.406899,278528,1761982910
137,2048,44.474539,38.006629,63.664569,2303.552188,0.889062,280576,1761982911
138,2048,78.120293,38.951806,63.551373,1434.740697,1.427436,282624,1761982912
139,2048,68.443487,39.417942,63.595013,1473.264689,1.390110,284672,1761982914
140,2048,32.873804,39.195175,63.578527,189.991776,10.779414,286720,1761982924
141,2048,145.243455,40.358745,64.438148,2047999999999.999756,0.000000,288768,1761982916
142,2048,178.953615,41.463136,65.842336,1368.986965,1.495997,290816,1761982917
143,2048,57.615795,42.120835,65.671691,1458.826407,1.403868,292864,1761982919
144,2048,62.835531,42.813247,65.521251,2077.317573,0.985887,294912,1761982920
145,2048,99.598730,43.433316,65.761867,1482.142734,1.381783,296960,1761982921
146,2048,29.431226,42.408148,65.170423,1478.881123,1.384831,299008,1761982923
147,2048,94.246751,42.974369,65.372066,1457.922425,1.404739,301056,1761982924
148,2048,10.594604,42.819954,65.430105,2261.954373,0.905412,303104,1761982925
149,2048,121.912377,43.135161,65.733741,1500.416345,1.364954,305152,1761982926
150,2048,-46.178878,42.499013,66.284881,1483.234504,1.380766,307200,1761982928
151,2048,169.341925,43.776869,67.475440,1464.054561,1.398855,309248,1761982929
152,2048,-20.185318,42.253042,67.181415,2292.605581,0.893307,311296,1761982930
153,2048,221.027879,43.992669,69.495965,1455.736313,1.406848,313344,1761982931
154,2048,45.475311,43.112794,68.912175,1346.982641,1.520435,315392,1761982933
155,2048,89.871617,43.827526,69.022698,1439.592479,1.422625,317440,1761982934
156,2048,224.633056,46.038259,71.203490,2009.306644,1.019257,319488,1761982935
157,2048,150.064222,46.688343,71.850572,1451.683923,1.410775,321536,1761982937
158,2048,87.681933,47.083707,71.966186,1429.973402,1.432194,323584,1761982938
159,2048,45.697490,46.026381,71.197974,1507.983083,1.358105,325632,1761982939
160,2048,152.478562,47.113320,71.980834,2385.753635,0.858429,327680,1761982940
161,2048,207.603026,48.166497,73.534082,1501.987323,1.363527,329728,1761982942
162,2048,218.574058,49.099534,75.082141,1427.664017,1.434511,331776,1761982943
163,2048,238.348938,51.096746,77.397647,1521.084641,1.346408,333824,1761982944
164,2048,155.685600,51.996629,78.082281,2262.043126,0.905376,335872,1761982945
165,2048,184.213611,52.181542,78.372740,1378.838661,1.485308,337920,1761982947
166,2048,177.742425,53.156138,79.316424,1495.266912,1.369655,339968,1761982948
167,2048,135.671566,53.420257,79.546447,1497.145135,1.367937,342016,1761982950
168,2048,230.296034,54.827076,81.396613,2087.583569,0.981039,344064,1761982951
169,2048,185.004397,55.869050,82.383461,1397.734610,1.465228,346112,1761982952
170,2048,240.906362,57.378662,84.353612,1471.521238,1.391757,348160,1761982953
171,2048,175.679512,58.500802,85.169555,1477.213269,1.386394,350208,1761982955
172,2048,156.981015,59.135193,85.663034,2210.894877,0.926322,352256,1761982956
173,2048,143.149265,59.834333,86.059643,1490.448493,1.374083,354304,1761982957
174,2048,193.303540,61.520110,87.001348,1481.679743,1.382215,356352,1761982958
175,2048,132.359863,61.839829,87.202109,187.625774,10.915345,358400,1761982969
176,2048,210.949591,64.670648,87.401638,2047999999999.999756,0.000000,360448,1761982961
177,2048,125.039480,66.112548,87.196050,1468.267254,1.394841,362496,1761982962
178,2048,193.381359,68.127044,87.784045,1446.521181,1.415811,364544,1761982964
179,2048,250.000000,70.672102,89.453321,189.635755,10.799651,366592,1761982975
180,2048,209.032927,72.640121,90.306739,2047999999999.999756,0.000000,368640,1761982966
181,2048,197.754892,74.592384,90.878361,1471.725201,1.391564,370688,1761982967
182,2048,250.000000,76.878473,92.604824,1492.070444,1.372589,372736,1761982969
183,2048,232.290815,78.686183,93.848202,2226.812161,0.919700,374784,1761982970
184,2048,110.721517,78.964764,93.901520,1410.818679,1.451639,376832,1761982971
185,2048,143.376001,80.341156,93.826786,1468.740735,1.394392,378880,1761982973
186,2048,202.442854,81.651520,94.604644,1444.337773,1.417951,380928,1761982974
187,2048,176.194031,82.672202,95.067415,2012.006215,1.017889,382976,1761982975
188,2048,167.945194,84.136003,95.242032,1408.440672,1.454090,385024,1761982976
189,2048,175.880443,85.650936,95.484139,1486.881776,1.377379,387072,1761982978
190,2048,191.792168,87.609722,95.632190,1480.756414,1.383077,389120,1761982979
191,2048,237.351844,90.335916,95.975633,2175.230342,0.941509,391168,1761982980
192,2048,222.906390,92.402362,96.581218,1483.025802,1.380960,393216,1761982982
193,2048,187.082121,95.170129,95.280223,1430.060295,1.432107,395264,1761982983
194,2048,203.679497,97.390921,95.195329,1436.180692,1.426004,397312,1761982984
195,2048,187.118049,100.584862,92.763084,2304.510085,0.888692,399360,1761982985
196,2048,208.465166,104.499807,88.891363,1450.805675,1.411629,401408,1761982987
197,2048,240.678548,107.393483,88.566808,1461.764459,1.401047,403456,1761982988
198,2048,98.252704,108.600793,87.605882,1403.657478,1.459045,405504,1761982990
199,2048,249.681320,111.712978,87.032595,2169.575349,0.943964,407552,1761982991
200,2048,179.705298,113.639656,86.381424,1433.182343,1.428988,409600,1761982992
200,2048,179.705298,46.652917,115.283510,,257.076100,2048,1761982992
201,2048,161.462822,116.663641,82.628024,1470.048533,1.393151,411648,1761982993
202,2048,127.604208,117.615758,82.198933,603.868244,3.391468,413696,1761982997
203,2048,205.939583,119.494695,82.048787,870.763394,2.351959,415744,1761982999
204,2048,188.433812,120.582893,82.234060,1020.251444,2.007348,417792,1761983001
205,2048,165.573669,122.129446,81.608991,896.327096,2.284880,419840,1761983003
206,2048,233.294939,125.523179,79.065161,1297.886302,1.577950,421888,1761983005
207,2048,250.000000,128.628628,78.557139,908.885838,2.253308,423936,1761983007
208,2048,237.660487,130.563163,78.835849,985.518458,2.078094,425984,1761983009
209,2048,199.820726,133.165481,76.756586,1441.575728,1.420668,428032,1761983011
210,2048,195.186938,135.206026,75.658062,1020.108473,2.007630,430080,1761983013
211,2048,250.000000,135.925975,76.435444,991.553561,2.065446,432128,1761983015
212,2048,210.924760,137.262061,76.566892,1323.096777,1.547884,434176,1761983016
213,2048,250.000000,139.784918,76.976399,982.152764,2.085215,436224,1761983018
214,2048,198.086689,141.298464,76.619045,1271.641323,1.610517,438272,1761983020
215,2048,213.364541,143.413704,75.653511,989.234148,2.070288,440320,1761983022
216,2048,250.000000,145.741687,76.195363,1092.116826,1.875257,442368,1761983024
217,2048,223.815665,146.941270,76.470300,1253.187094,1.634233,444416,1761983026
218,2048,220.815656,148.441511,76.433256,1031.000042,1.986421,446464,1761983028
219,2048,153.770092,149.013215,76.256960,1048.534274,1.953203,448512,1761983030
220,2048,163.582945,150.448081,75.159777,1334.128317,1.535085,450560,1761983031
